,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
67,Kuwait,KWT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.01799738,13.83692554,14.55294096,15.28029897,15.28789008,15.59511603,15.43916073,15.68866589,14.60855909,15.20262177,15.19202096,14.78548641
68,Latin America & Caribbean,LCN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.65043413,12.60619459,12.89345121,12.95507783,13.33482823,13.39761623,13.57534931,13.52805628,13.13703153,13.17432509,14.90180077,15.32080735
69,Latin America & Caribbean (excluding high income),LAC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.942528545,10.81546372,11.14958559,12.24786601,13.10006754,13.29623644,13.50088736,13.56164262,14.033633600000002,14.01747549,15.05369882,15.62372928
70,Latvia,LVA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,31.59452829,31.91566332,33.44617803,37.40457916,36.66019876,35.39429927,34.20988644,32.74848596,24.58759348,21.53200738,20.32762443,18.00126939
71,Least developed countries: UN classification,LDC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.226485139,1.315225584,1.543776117,1.957740025,2.173250515,2.358734413,2.5598504440000003,2.597382358,2.931113794,2.988485238,3.3095123839999996,3.257553114
72,Lesotho,LSO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.615489101,2.496554325,2.034629392,2.172392732,2.3061590919999997,2.352675844,3.432412994,3.4529655089999998,3.392323788,3.635358405,3.573635504,18.21139794
73,Low & middle income,LMY,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.789875671,5.1011876780000005,5.173456322,5.179049962,5.9973657220000005,6.577638316,6.469576337,7.0810388710000005,7.673484131,7.842708168,8.41887316,8.645171208999999
74,Low income,LIC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.129012487,1.183626292,1.178094171,1.4448214519999998,1.9079299090000001,2.300990369,2.459087668,2.290036916,2.698448739,2.895234428,3.10997747,2.9384694239999996
75,Lower middle income,LMC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,5.145950212,5.293868682,5.720283982000001,5.848334507000001,5.9973657220000005,6.433050695,6.513401762999999,7.156279308999999,7.068207204,7.416549787,7.878527902999999,8.320992909
76,Madagascar,MDG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.12699641,1.119547568,1.140444166,1.2702473490000001,1.336484926,1.413786395,1.466990288,1.531847225,1.613842191,1.6809274180000002,1.903099586,2.066968359
77,Malawi,MWI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.999057858,0.95619607,0.941903264,1.965437369,2.200719877,2.300967004,2.893864378,1.071137921,3.2807048689999996,3.258100723,3.233891711,3.2834277039999997
78,Malaysia,MYS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,14.06401328,12.6389235,11.72652392,11.43314908,11.23250211,11.07813707,10.86363354,11.20357268,11.11633261,10.91227067,10.76382766,10.65841005
79,Maldives,MDV,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.33155457,10.30846312,11.97953459,12.07849387,12.27032698,12.58473146,12.22796107,12.19896054,12.25249522,11.96857945,12.05230432,12.13221813
80,Mali,MLI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.418087656,2.457545895,2.612012632,2.9434390130000003,2.825736811,3.175148792,3.6006004660000004,4.1981701319999996,4.746786118999999,4.97192413,5.544719614,5.738892725
81,Mauritius,MUS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,18.14094527,18.27924055,18.64496424,18.95217292,19.55307534,21.09740001,21.31137548,21.61538945,21.91406363,22.23582439,24.33835121,23.95344782
82,Mexico,MEX,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.75874484,10.81546372,11.14958559,12.24786601,13.10006754,13.67568438,14.07214134,14.08323374,14.93023568,14.86062589,14.74990273,14.00163224
83,Middle East & North Africa,MEA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.88956294,11.39015924,12.2198891,12.57687775,13.4263091,13.59478396,13.71822603,12.68019509,12.8952883,13.08107359,14.85246805,13.56104685
84,Middle East & North Africa (excluding high income),MNA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.778687251000001,8.769542767,9.790149937,9.950839713999999,10.48056416,10.78658909,10.77116888,10.91351063,10.97407574,10.32249529,14.53117563,14.61415021
85,Middle income,MIC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.47651997,7.902788386,7.87190787,8.176177371,8.839227762,9.60197962,10.03322883,10.51197766,10.18058817,10.63866701,11.47644278,11.95409249
86,Moldova,MDA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.2630011329999995,7.7828601,8.223321484,9.17529607,10.63636994,10.20759449,10.35734447,11.23546863,11.40956566,11.95998653,12.08698593,10.01682418
87,Morocco,MAR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.87065066,10.58934706,11.46154001,12.60946834,14.14682857,19.576987300000003,20.81198798,21.85839737,22.89504444,23.6108059,24.07162977,24.61305386
88,Mozambique,MOZ,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.779748996,2.000132009,2.0351551,2.362732082,2.50084856,2.862179265,3.282394172,3.507601563,3.7282717930000002,3.742156773,3.978723942,4.136468973
89,Namibia,NAM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.74198827,10.7376169,11.74346167,12.376198599999999,12.49755063,12.51751321,12.5189902,12.54252813,12.33927571,12.34054758,12.79912174,12.78359999
90,Netherlands,NLD,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,33.60374054,28.05902976,27.67259799,28.62592193,27.53638188,25.18648648,22.97300207,21.26097095,19.60112534,17.30535417,14.69881352,13.94817256
91,New Zealand,NZL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,35.0193795,35.15868269,35.35889009,35.14350493,34.9935422,35.70198669,34.49563368,33.92570713,33.34914865,30.87919554,29.62818917,29.04240869
92,Nicaragua,NIC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.904089386,6.240932506,6.9405413739999995,7.38966974,8.173516722999999,8.104169834,6.793918665,7.16312181,7.068207204,7.416549787,7.610881934,8.130965891
93,Niger,NER,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.40669057200000003,0.5096843670000001,0.479517414,0.668542132,0.8174339140000001,0.8016897070000001,0.944552209,1.088595717,1.2878543709999999,1.469653734,1.4769904930000002,1.501484136
94,Nigeria,NGA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.6652486710000005,4.146989359,3.753902993,5.171840443,6.221409389,6.433050695,6.513401762999999,6.357857217,5.7695420870000005,5.855403921000001,5.560132414,4.938618218
95,North America,NAC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,32.50746481,33.09151418,29.16614642,29.624675399999997,29.78902505,29.94840425,29.63490009,29.553858399999996,29.45572078,28.78891857,28.06514038,28.24669161
96,Norway,NOR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.13385452,12.08477944,12.01359467,12.31307634,11.69682052,11.01637095,10.95738896,10.72298235,9.921660502,8.933982391,8.506383495,7.718856177
97,OECD members,OED,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,29.02729873,27.28082419,27.52115944,28.62592193,27.76276212,26.43134954,26.25658051,25.93630145,24.48082525,24.28829087,24.05439605,23.63551476
98,Oman,OMN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.51471068,20.68213553,20.38226536,20.93780367,21.79798453,22.27351679,21.30504246,19.7714454,18.16446436,16.69101456,14.51291515,13.56104685
99,Pakistan,PAK,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.6900388070000005,7.781794843999999,7.923509996,8.176177371,8.522634729,8.600869416,8.636619057999999,8.813970668,9.059896146,9.385293209,9.662368189,10.040512099999999
100,Papua New Guinea,PNG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.9352162519999998,1.912712543,1.809408605,1.814494389,1.767590174,1.6718625530000002,1.7224526000000002,1.840332303,1.83607146,1.830030716,1.780424724,2.777001748
101,Paraguay,PRY,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.155895288,3.999078612,4.059399422,4.328318764,5.762660703,7.1368759939999995,8.590391014,9.541322601000001,10.04872946,10.3475567,10.77073157,12.15910054
102,Peru,PER,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.263982738,4.374231228999999,4.5307708,5.179049962,6.651529474,6.722225937999999,6.785860368,7.005798434,7.586328087999999,7.71785074,8.006013905,8.128552595
103,Philippines,PHL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.223409477,8.022716672,7.820305745,7.561377257,7.5990645379999995,7.518543356,7.578284602999999,7.698429151,7.981730354,8.295183615,8.681494037,8.84317638
104,Poland,POL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,26.529118100000005,26.50261862,27.52115944,29.6065589,32.63386236,32.82941135,32.08812562,32.49476204,33.91242953,32.94623779,32.95701194,31.14791235
105,Portugal,PRT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,66.45236949999999,68.15131237,70.73777709999999,61.5040246,64.19543024,65.75474670000001,65.84184894,63.92122345,61.07316571,58.00701995,53.36928022,50.627820299999996
106,Russian Federation,RUS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,26.68966716,28.36644139,30.35482341,33.70150305,35.56202637,34.62966698,35.04581522,36.7092122,38.20560776,38.4719604,36.98869079,32.87738659
107,Rwanda,RWA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.395034261,0.769057288,0.729063538,1.074914626,4.605473614,4.942397656,4.946187005,5.5108582,5.675769962,6.0033916839999995,5.869767911,6.137063421000001
