,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
109,Senegal,SEN,Time required to start a business (days),IC.REG.DURS,57.0,57.0,57.0,58.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0
110,Singapore,SGP,Time required to start a business (days),IC.REG.DURS,8.0,6.0,6.0,5.0,3.5,2.5,2.5,2.5,2.5,2.5,2.5
111,Slovenia,SVN,Time required to start a business (days),IC.REG.DURS,60.0,60.0,60.0,60.0,19.0,6.0,6.0,6.0,6.0,6.0,6.0
112,Solomon Islands,SLB,Time required to start a business (days),IC.REG.DURS,55.0,55.0,55.0,55.0,55.0,55.0,55.0,41.0,7.0,9.0,9.0
113,South Africa,ZAF,Time required to start a business (days),IC.REG.DURS,36.0,33.0,33.0,31.0,22.0,22.0,22.0,19.0,19.0,19.0,19.0
114,South Asia,SAS,Time required to start a business (days),IC.REG.DURS,39.1875,37.5625,32.3125,32.6875,32.1875,28.5625,25.4375,23.5625,20.3125,17.6125,15.9875
115,Spain,ESP,Time required to start a business (days),IC.REG.DURS,137.0,70.0,60.0,60.0,61.0,61.0,52.0,29.0,29.0,23.0,13.0
116,Sri Lanka,LKA,Time required to start a business (days),IC.REG.DURS,46.0,46.0,46.0,42.0,44.0,44.0,38.0,35.0,11.0,11.0,11.0
117,Sub-Saharan Africa,SSF,Time required to start a business (days),IC.REG.DURS,58.18918919,62.51111111,58.69565217,53.69565217,49.67391304,47.06521739,44.93478261,35.90217391,34.23404255,29.78297872,27.34680851
118,Sub-Saharan Africa (excluding high income),SSA,Time required to start a business (days),IC.REG.DURS,58.18918919,60.39534884,56.97727273,51.72727273,47.52272727,44.79545455,42.56818182,33.625,31.46666667,27.26222222,24.71777778
119,Sudan,SDN,Time required to start a business (days),IC.REG.DURS,37.0,37.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,36.0,36.0
120,Suriname,SUR,Time required to start a business (days),IC.REG.DURS,47.77269403,697.0,689.0,689.0,690.0,690.0,690.0,690.0,690.0,204.0,84.0
121,Swaziland,SWZ,Time required to start a business (days),IC.REG.DURS,47.77269403,60.0,60.0,60.0,60.0,60.0,56.0,56.0,56.0,38.0,30.0
122,Sweden,SWE,Time required to start a business (days),IC.REG.DURS,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
123,Switzerland,CHE,Time required to start a business (days),IC.REG.DURS,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0
