Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,44237000000,43751000000,38753000000,42095300000,47053000000,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,242489331627.399,170556525654.03
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,500000000,456900000,728700000,959100000,1446497261.33581,968368273.647335,3111676589.81669,5562216361.61769,2828826261.61252,1507907130.44589,2436459923.42856,2541942612.20739,2133698124.14946,1720493455.49813,3115635873.52058,10235419011.1676,6750618034.74878,8885767539.67293,10564672090.7627,8034594779.63952,6429943091.26011,14647755353.7554,15039372277.4535,16208677908.3267,16163137318.7151,11732167013.2216,13592646938.9358
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,393003.10379242,2506163.33401032,-1446978.12497841,190704.780596669,177714.239994358,889525.017698176,510000,20000,384216.3907,271000,93636.11507504,1145914.99493433,430423.479313848,791465.102946359,671354.693890846,558643.248749362,777728.34585899,7681783.08246288,4631824.18450966,13784111.9489669,8342263.1250314,23088175.8019521,10375785.658299,4230442.06456108,4678330.4361,5146839.5062,..
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-14460000,12390000,-730000,6870000,-1500000,-22350000,24790000,-44350000,61330000,11160000,94190400,102221900,187598693.693694,391254723.550069,409032814.51248,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1686900000,3312142743.28317,2098249103.29472,1843173235.91732,1673500100.15718,..
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,22551558.2245,32753529.6891,2739032.5359,286054322.0689,2990000,125018925.758043,72579070.6931468,79171534.7572172,32777255.4191937,538212550.239714,-97897925.1179687,-135361238.247372,199155450.954144,219545648.817082,88399286.0999307,800996241.640624,1487693084.45891,2638405259.74516,2031879947.7451,1273828533.6711,928436006.5176,2179856145.6007,2151894023.2348,2913934094.4053,5502260246.9585,1486178037.0276,..
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,162500000,178400000,226000000,246700000,297600000,336900000,426950000,408170000,613080000,619469212,723426415.264239,621846413.159734,723172624.768835,774386239.764205,1083718486.49799,1528787464.115,1801002598.41588,2241492021.19677,2436112218.26755,1614614468.45234,1906923793.45078,2733268839.98155,2696295210.67893,3205384976.80294,3275414475.38463,3145009997.85251,3179583016.99031
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,48114925.5415076,16305875.0295171,-230834501.963191,87900032.7089422,77989253.9432915,211482185.503018,269180619.328979,415303614.48062,380014112.44914,323675947.635538,234701641.053396,272680081.703965,212629136.66552,165347467.486846,282979933.109701,348920761.502346,350652855.728047,443215533.117434,466489596.954486,396030773.972889,358118908.982355,301577298.55306,330274411.529178,407476278.301898,438772529.1506,430157849.3533,..
Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,13000000,144186480.153655,114440874.376863,108053139.664729,492528182.656309,541135803.686081,940830562.172983,1452386278.07328,1056781254.72467,984168063.019211,953751427.253018,1826223974.97394,1293085521.96946,1794317620.12721,3299038091.69786,4567377358.86025,5187844808.8034,3198815037.16804,1424108328.1181,1417600259.48312,1465100044.52763,937309759.586375,3959857736.72732,158968737.615967,..
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105698324.022346,146536312.849162,55251396.6480447,89329608.9385475,68859776.5363128,69702234.6368715,17480446.9273743,69296089.3854748,146435754.189944,..
