Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Liechtenstein,LIE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,11637,9767,12896,14373,14748,11888,13431,15088,14172,13344,14307,14036
Low & middle income,LMY,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,2196.5,..,3126.5,..,..,..,..,..,..,..
Low income,LIC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1399,1399,1736.7,..,2370,..,..,1757,..,1757,..,..
Luxembourg,LUX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,392,441,287,291,189,189,189,189,189,189,..
"Macao SAR, China",MAC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Macedonia, FYR",MKD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,426,530,614,778,743,497,497,..,..,423,423,..
Madagascar,MDG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,38,..,..,..,33,..,..,..,..,..,..,..
Malaysia,MYS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1224,1178,1572,1355,1350,1384,1384,1535,3071,3071,3071,..
Maldives,MDV,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Mali,MLI,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Malta,MLT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Marshall Islands,MHL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,7622,7566,7566,7536,7536,7536,7536,..
Mauritius,MUS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,54387,54387,75600,71136,..,..,69185,69185,69185,78770,..
"Micronesia, Fed. Sts.",FSM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa,MEA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1945,2082,1751.7,1913.5,1972.5,1910.5,1910.5,1722,1722,1722.068,1722,..
Middle East & North Africa (excluding high income),MNA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2082,2258,2124.2,2374.7,2283.5,2221.5,2221.5,1808,1808,1808.3085,1808,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2082,2258,2124.2,2374.7,2283.5,2221.5,2221.5,1808,1808,1808.3085,1808,..
Middle income,MIC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2682,2928,3447,3917,3910,..,3840,2873,2850,2613,3071,..
Moldova,MDA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,2980,3655,3092,3092,1017,927,1172,945,945,1179,959
Monaco,MCO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8857,..,9218.5,8361,8261,7852,10287,11418,11418,12077,12474,11462.59
Montenegro,MNE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5564,5919,5827,5837,4959,4111,5572,5976,5976,5976,5383.5,4748.52
Mozambique,MOZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,768,768,768,695,695,695,1194,1193,1193,1193,..
Myanmar,MMR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,885,..,..,..,..,..,..,..,..,..
Namibia,NAM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
