name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Russian Federation,RUS,26.68966716,28.36644139,30.35482341,33.70150305,35.56202637,34.62966698,35.04581522,36.7092122,38.20560776,38.4719604,36.98869079,32.87738659
Rwanda,RWA,0.395034261,0.769057288,0.729063538,1.074914626,4.605473614,4.942397656,4.946187005,5.5108582,5.675769962,6.003391684,5.869767911,6.137063421
Samoa,WSM,17.64143323,18.3930033,20.92183421,23.39791759,23.14732381,26.41868329,25.25560413,18.13283598,18.78896575,22.78173411,24.18641891,21.4571023
San Marino,SMR,238.1147672,259.5934988,276.7885062,289.8347098,287.0862772,284.5296612,282.1284497,264.5317264,266.3509702,260.7142988,247.7687253,238.8544442
Saudi Arabia,SAU,7.758118543,7.519927352,7.620420157,7.715670013,7.783389734,8.120487991,8.247249258,8.276175326,8.267690802,8.367506882,8.802029261,8.932099573
Senegal,SEN,1.996965268,2.523300858,2.930218542,3.100626102,3.751897762,3.924183643,4.165044263,4.450965441,4.665619437,4.576371195,4.620018065,4.607219278
Serbia,SRB,22.36149685,32.11314319,36.704365,41.02592235,45.80060419,44.1948932,41.7631901,40.254843,38.00335646,33.81712007,30.49316097,29.62359408
Seychelles,SYC,42.32382086,40.18146863,40.81490958,40.39774747,46.77508162,46.23931206,46.09457881,47.39205676,48.4652545,49.14715758,54.16684968,54.8374854
Singapore,SGP,11.72258945,11.51095114,11.14333421,10.75544606,10.32972312,10.21647928,10.22326379,9.965813718,9.771402868,9.507025639,9.389061367,9.326803877
Slovak Republic,SVK,25.21075013,25.70450817,26.2913234,25.94517566,27.76276212,26.43134954,26.25658051,25.93630145,26.59095256,26.85612635,27.94202533,28.21621439
Slovenia,SVN,40.99597484,40.11539304,39.67538485,40.22843576,39.37183872,39.55827652,38.73836458,38.27894588,38.4387766,34.43042709,31.8553521,31.21709839
Small states,SST,7.24716209,6.320933768,6.810513625,7.262067118,7.933149655,8.06594968,9.081078465,8.720929983,8.781490684,9.194556822,8.777639053,9.053321262
Solomon Islands,SLB,7.46115536,7.986669523,8.135775481,7.932265352,7.73879221,7.553763088,4.488646929,4.070016812,3.970617431,3.573832399,4.065359363,3.964478275
