name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Botswana,BWA,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6,9,16,30,36.74474744
Brazil,BRA,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188
Brunei Darussalam,BRN,29.71560414,36.46639195,42.18634916,44.68,46,49,53,56,60.27306504,64.5,68.77
Bulgaria,BGR,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49
Burkina Faso,BFA,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4
Burundi,BDI,0.349060462,0.542142866,0.65759259,0.7,0.81,0.9,1,1.11,1.219999945,1.264218111,1.38
Cabo Verde,CPV,5.31883207,6.074087107,6.808911008,8.28321982,14,21,30,32,34.74,37.5,40.26
Cambodia,KHM,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26,3.1,4.94,6.8,14
Cameroon,CMR,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223
Canada,CAN,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12
Caribbean small states,CSS,16.89119229,19.48895869,22.34485257,24.4938787,27.72404741,31.92694997,35.74316613,42.42886142,42.85406873,45.58082237,48.63168348
Cayman Islands,CYM,17.65803592,38.03438308,44.5,52,61,64.5,66,69.46594499,69.7,71.4,74.1
Central African Republic,CAF,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.4,3.6
Central Europe and the Baltics,CEB,29.15044423,34.64729322,40.65876375,45.11428149,50.4833147,54.87022447,58.35016696,58.85739214,61.50954877,63.29097207,66.32785065
Chad,TCD,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.5,2.9
Chile,CHL,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11
China,CHN,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9
Colombia,COL,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57
Comoros,COM,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98
"Congo, Dem. Rep.",COD,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3
