name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Least developed countries: UN classification,LDC,303575730,311403893,318810550,326201237,333729402,342035767,350686961,359936039,369010015,379322767,390244810
Lebanon,LBN,1265916,1325948,1371313,1402716,1432600,1477147,1545313,1637891,1754667,1880476,1996902
Lesotho,LSO,808051,807447,808840,809814,811059,824993,840003,856339,873573,891711,909653
Liberia,LBR,1091175,1121734,1161885,1210269,1263531,1317366,1368863,1412456,1452404,1490517,1532548
Libya,LBY,2085759,2152589,2211595,2268005,2319099,2362263,2396173,2381939,2398209,2385007,2369117
Lithuania,LTU,1597339,1551049,1514597,1513517,1511774,1523409,1501896,1490329,1480657,1468277,1483210
Low & middle income,LMY,2438360691,2483615821,2512567894,2541763906,2570877515,2599864610,2626088344,2660284308,2695156778,2733255073,2772712793
Low income,LIC,199689272,205566012,211400213,217295625,223542976,230014605,236701414,243230051,249907941,257484377,265490573
Lower middle income,LMC,1005913198,1030745693,1043423689,1055830438,1068700199,1082898890,1097435052,1113761052,1128973097,1149067230,1168902981
Luxembourg,LUX,201398,207421,213178,215810,220410,234318,237895,243432,255240,263259,273717
"Macao SAR, China",MAC,249949,265283,281228,299724,312666,322323,332593,343039,350315,358577,367390
"Macedonia, FYR",MKD,849230,879393,903821,917831,933615,945084,953288,954126,949963,961580,964133
Madagascar,MDG,8509321,8782059,9132205,9490814,9859738,10241934,10637414,10864530,11076742,11446004,11826247
Malawi,MWI,5498084,5710923,5908142,6045446,6309075,6499700,6700691,6902532,7117665,7333843,7601913
Malaysia,MYS,10671548,10921176,11122256,11326438,11490594,11828351,12118629,12680325,13245366,13903106,14248789
Maldives,MDV,126343,137046,149386,160461,170338,172995,179666,187625,194363,200786,206937
Mali,MLI,3399660,3675012,3952268,4247530,4557912,4879945,5211333,5354185,5509347,5668058,5829592
Malta,MLT,158026,161177,162761,166387,168457,170117,173272,176654,181418,187388,190990
Mauritania,MRT,819785,848310,874511,904303,934450,967292,999829,1033711,1068132,1103750,1140109
Mauritius,MUS,533411,542496,545354,547273,553536,559461,571546,571678,580969,600402,612630
Mexico,MEX,43743930,44531943,46238712,47444330,48793303,49110194,51046361,51525632,53682338,54408566,55636413
Middle East & North Africa,MEA,109381778,113777691,116125384,119950044,122765068,126655132,130454449,133854091,137260024,140975571,143961986
Middle East & North Africa (excluding high income),MNA,93043013,96426978,97595652,100040690,101407059,103805005,105980268,108063858,110192785,112758992,114758218
Middle East & North Africa (IDA & IBRD countries),TMN,92340538,95692316,96826396,99225849,100542462,102933817,105086377,107094788,109171872,111695442,113648088
Middle income,MIC,2238671420,2278049809,2301167681,2324468281,2347334540,2369850005,2389386930,2417054257,2445248837,2475770696,2507222220
Moldova,MDA,1442078,1436722,1359328,1328865,1320387,1269744,1242635,1262406,1216877,1241247,1246274
