Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
South Asia,SAS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.911964417,9.147379875,9.375573158,9.696843147,9.935320854,9.9764328,10.29557228,10.75166798,10.95209885,11.01023674,11.0360918
Spain,ESP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.76976013,15.89540958,15.96959019,16.10836983,16.28046989,16.43164063,16.86190987,17.21623039,17.4623394,17.60803986,17.70031929
Sub-Saharan Africa,SSF,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.887914658,8.123404503,8.351781845,8.442345619,8.67353344,8.83544445,8.950263977,9.098308563,9.165206909,9.208616257,9.260112762
Sub-Saharan Africa (excluding high income),SSA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.887653351,8.123106956,8.351493835,8.442073822,8.673278809,8.835206032,8.950037003,9.098075867,9.164977074,9.208398819,9.259843826
Sudan,SDN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,6.063370228,6.181429863,6.426990032,6.349790096,6.838739872,7.014430046,7.002049923,6.671380043,6.988840103,7.2052598,14.38965079
Swaziland,SWZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.676179886,9.889209747,10.42698002,13.19833133,13.18471495,13.29808107,13.60591236,11.32771969,13.67457888,11.41374969,14.38965079
Sweden,SWE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.95901966,15.90291977,15.84502983,15.74347019,15.77451992,15.76963043,15.96084023,15.81472015,15.81676006,18.10552979,18.22341919
Switzerland,CHE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.2223196,15.22572041,15.28555965,15.30904961,15.34626961,15.41571045,15.58899021,15.69769001,15.7848196,15.9510498,16.04040909
Syrian Arab Republic,SYR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.99802971,11.42245007,11.51401043,11.64190006,11.76521015,11.74547005,12.02490044,12.4765501,13.0250597,9.030449867,14.38965079
Tajikistan,TJK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.55121994,10.72517967,10.86061001,10.80029011,11.06075001,11.08255005,11.11979008,11.12222004,11.19583035,11.26185989,14.38965079
Thailand,THA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.03742027,12.37759972,12.33234024,12.89461994,12.95851994,13.14630032,13.29718971,13.68480968,13.60033035,13.57495975,16.16138077
Tunisia,TUN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.92440033,14.19396019,14.27620983,14.34340954,14.42790985,14.40388966,14.50232029,14.63500977,13.67457888,14.68558025,14.6415596
Turkey,TUR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.94857025,11.87851048,12.28059959,12.5281496,12.46959972,12.96345043,13.81291008,14.31696033,14.38636017,16.38624954,16.82315063
Ukraine,UKR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.47362041,14.67864037,14.79428959,14.8615303,14.89678001,14.90452003,14.94557953,15.0583601,15.22702026,15.23758984,15.30671978
United Kingdom,GBR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.53211975,16.61935043,16.06778908,15.8524704,15.95864964,16.12162018,16.39365959,15.78431988,15.78592014,17.80900955,17.93684959
United States,USA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.90927982,16.00938988,16.05418015,16.21792984,16.34259987,16.4407196,16.5814991,16.68605995,16.62360954,16.54281044,16.53815079
Upper middle income,UMC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.72879028,11.96907997,12.17138004,12.43787003,12.71323013,12.89575005,13.10630035,13.29631996,13.50043011,13.87071991,14.04358006
Uruguay,URY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.45748043,15.19279957,15.29617023,15.68605995,15.50697994,15.5850296,15.51185036,13.57464749,13.67457888,15.79232025,15.00131989
Uzbekistan,UZB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.67432976,11.79137039,11.78658009,11.9467001,11.83728981,11.92819977,11.97931004,11.9891901,12.12798977,12.11532021,12.13300037
West Bank and Gaza,PSE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.65834999,12.68583965,12.8663702,13.33654022,13.38226032,13.26616955,13.33582973,13.24118996,13.15789032,12.86812019,12.84344006
World,WLD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.49518967,10.68109989,10.82571983,11.02966022,11.22327995,11.33813,11.55646038,11.79281044,11.96905041,12.15122032,12.23338032
